date;product;customer;quantity;price
2023-12-18;Lohi B;Itsudemo Lippulaiva;40;12.9825
2023-12-20;Lohi B;Itsudemo Lippulaiva;40;12.9825
2023-12-18;Lohi B;Sushibar S-market Espoonkeskus;20;12.7193
2023-12-22;Lohi B;Sushibar S-market Espoonkeskus;20;12.7193
2023-12-18;Lohi B;Sushibar Prisma Itäkeskus;50;12.7193
2023-12-21;Lohi B;Sushibar Prisma Itäkeskus;50;12.7193
2023-12-20;Avocado;Itsudemo Lippulaiva;8;6.4035
2023-12-18;Lohi B;Sushibar Prisma Kaari;20;12.7193
2023-12-20;Lohi B;Sushibar Prisma Kaari;30;12.7193
2023-12-22;Lohi B;Sushibar Prisma Kaari;30;12.7193
2023-12-18;Lohi B;Sushibar S-market Hakaniemi;20;12.7193
2023-12-21;Lohi B;Sushibar S-market Hakaniemi;10;12.7193
2023-12-18;Lohi B;Sushibar S-market Ympyrätalo;30;12.7193
2023-12-21;Lohi B;Sushibar S-market Ympyrätalo;30;12.7193
2023-12-18;Lohi B;Sushibar Prisma Olari;60;12.7193
2023-12-20;Lohi B;Sushibar Prisma Olari;20;12.7193
2023-12-21;Lohi B;Sushibar Prisma Olari;60;12.7193
2023-12-22;Lohi B;Sushibar Prisma Olari;40;12.7193
2023-12-18;Lohi B;Sushibar S-market Arabia;20;12.7193
2023-12-20;Lohi B;Sushibar S-market Arabia;20;12.7193
2023-12-22;Lohi B;Sushibar S-market Arabia;20;12.7193
2023-12-18;Lohi B;Sushibar S-market Saunalahti;20;12.7193
2023-12-21;Lohi B;Sushibar S-market Saunalahti;20;12.7193
2023-12-19;Lohi B;Itsuyaki Itis;20;12.7193
2023-12-21;Lohi B;Itsuyaki Itis;20;12.7193
2023-12-23;Lohi B;Itsuyaki Itis;20;12.7193
2023-12-18;Lohi B;Sushibar S-market Lauttasaari;20;12.7193
2023-12-21;Lohi B;Sushibar S-market Lauttasaari;20;12.7193
2023-12-18;Lohi B;Sushibar Prisma Mylly;20;12.7193
2023-12-20;Lohi B;Sushibar Prisma Mylly;20;12.7193
2023-12-22;Lohi B;Sushibar Prisma Mylly;20;12.7193
2023-12-18;Lohi B;Sushibar S-market Manhattan;20;12.7193
2023-12-20;Lohi B;Sushibar S-market Manhattan;30;12.7193
2023-12-22;Lohi B;Sushibar S-market Manhattan;20;12.7193
2023-12-18;Lohi B;Sushibar S-market Auranlaakso;10;12.7193
2023-12-22;Lohi B;Sushibar S-market Auranlaakso;10;12.7193
2023-12-19;Lohi B;Itsudemo Pirkkala;40;12.9825
2023-12-21;Lohi B;Itsudemo Pirkkala;60;12.9825
2023-12-23;Lohi B;Itsudemo Pirkkala;35;12.9825
2023-12-18;Lohi B;Sushibar Prisma Itäharju;40;12.7193
2023-12-20;Lohi B;Sushibar Prisma Itäharju;40;12.7193
2023-12-18;Lohi B;Sushibar Prisma Länsikeskus;10;12.7193
2023-12-20;Lohi B;Sushibar Prisma Länsikeskus;10;12.7193
2023-12-18;Cucumber;Sushibar S-market Espoonkeskus;10;3.0702
2023-12-18;Avocado;Sushibar S-market Espoonkeskus;8;6.4035
2023-12-18;Chives;Sushibar S-market Espoonkeskus;0.28;31.3283
2023-12-22;Chives;Sushibar S-market Espoonkeskus;0.21;31.3283
2023-12-19;Lohi B;Sushibar S-market Columbus;20;12.7193
2023-12-21;Lohi B;Sushibar S-market Columbus;20;12.7193
2023-12-19;Lohi B;Sushibar Prisma Kaleva;70;12.7193
2023-12-21;Lohi B;Sushibar Prisma Kaleva;90;12.7193
2023-12-23;Lohi B;Sushibar Prisma Kaleva;20;12.7193
2023-12-19;Lohi B;Sushibar Prisma Linnainmaa;30;12.7193
2023-12-21;Lohi B;Sushibar Prisma Linnainmaa;40;12.7193
2023-12-23;Lohi B;Sushibar Prisma Linnainmaa;50;12.7193
2023-12-19;Lohi B;Sushibar Prisma Pirkkala;20;12.7193
2023-12-21;Lohi B;Sushibar Prisma Pirkkala;20;12.7193
2023-12-23;Lohi B;Sushibar Prisma Pirkkala;20;12.7193
2023-12-19;Lohi B;Sushibar Prisma Hyvinkää;10;12.7193
2023-12-21;Lohi B;Sushibar Prisma Hyvinkää;10;12.7193
2023-12-20;Cucumber;Sushibar Prisma Kaari;30;3.0702
2023-12-19;Lohi B;Sushibar Prisma Riihimäki;20;12.7193
2023-12-21;Lohi B;Sushibar Prisma Riihimäki;20;12.7193
2023-12-20;Avocado;Sushibar Prisma Kaari;20;6.4035
2023-12-19;Cucumber;Sushibar S-market Columbus;10;3.0702
2023-12-20;Chives;Sushibar Prisma Kaari;0.56;31.3283
2023-12-19;Cucumber;Sushibar Prisma Kaleva;20;3.0702
2023-12-21;Cucumber;Sushibar Prisma Kaleva;10;3.0702
2023-12-20;Lohi B;Sushibar Prisma Lippulaiva;30;12.7193
2023-12-22;Lohi B;Sushibar Prisma Lippulaiva;20;12.7193
2023-12-19;Cucumber;Sushibar Prisma Linnainmaa;12;3.0702
2023-12-20;Cucumber;Sushibar Prisma Lippulaiva;4;3.0702
2023-12-19;Cucumber;Sushibar Prisma Hyvinkää;6;3.0702
2023-12-20;Avocado;Sushibar Prisma Lippulaiva;4;6.4035
2023-12-19;Cucumber;Sushibar Prisma Riihimäki;10;3.0702
2023-12-20;Chives;Sushibar Prisma Lippulaiva;0.28;31.3283
2023-12-19;Avocado;Sushibar Prisma Kaleva;20;6.4035
2023-12-21;Avocado;Sushibar Prisma Kaleva;20;6.4035
2023-12-19;Avocado;Sushibar Prisma Linnainmaa;12;6.4035
2023-12-19;Avocado;Sushibar Prisma Hyvinkää;4;6.4035
2023-12-19;Avocado;Sushibar Prisma Riihimäki;8;6.4035
2023-12-19;Chives;Sushibar S-market Columbus;0.28;31.3283
2023-12-19;Chives;Sushibar Prisma Kaleva;0.7;31.3283
2023-12-21;Chives;Sushibar Prisma Kaleva;0.7;31.3283
2023-12-19;Chives;Sushibar Prisma Linnainmaa;0.84;31.3283
2023-12-19;Chives;Sushibar Prisma Hyvinkää;0.42;31.3283
2023-12-19;Chives;Sushibar Prisma Riihimäki;0.56;31.3283
2023-12-21;Cucumber;Sushibar Prisma Olari;15;3.0702
2023-12-21;Avocado;Sushibar Prisma Olari;24;6.4035
2023-12-21;Chives;Sushibar Prisma Olari;0.84;31.3283
2023-12-20;Cucumber;Sushibar S-market Arabia;5;3.0702
2023-12-20;Chives;Sushibar S-market Arabia;0.21;31.3283
2023-12-21;Avocado;Sushibar S-market Saunalahti;8;6.4035
2023-12-21;Chives;Sushibar S-market Saunalahti;0.28;31.3283
2023-12-21;Cucumber;Sushibar S-market Lauttasaari;4;3.0702
2023-12-21;Avocado;Sushibar S-market Lauttasaari;4;6.4035
2023-12-21;Chives;Sushibar S-market Lauttasaari;0.28;31.3283
2023-12-20;Chives;Sushibar Prisma Mylly;0.14;31.3283
2023-12-20;Chives;Sushibar S-market Manhattan;0.28;31.3283
2023-12-20;Chives;Sushibar Prisma Itäharju;0.21;31.3283
2023-12-20;Chives;Sushibar Prisma Länsikeskus;0.14;31.3283
2023-12-18;Lohi B;Sushibar Prisma Halikko;10;12.7193
2023-12-20;Lohi B;Sushibar Prisma Halikko;20;12.7193
2023-12-20;Avocado;Sushibar Prisma Halikko;12;6.4035
